receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-07,Ленинградская область,chain,marlboro,2850,6159519,18989072,0.32
2019-08-07,Ленинградская область,nonchain,marlboro,23469,6159519,18989072,0.32
2019-08-07,Московская область,chain,marlboro,797,6159519,18989072,0.32
2019-08-07,Московская область,nonchain,marlboro,24171,6159519,18989072,0.32
2019-08-07,Новосибирская область,chain,marlboro,8894,6159519,18989072,0.32
2019-08-07,Новосибирская область,nonchain,marlboro,16679,6159519,18989072,0.32
2019-08-07,Санкт-Петербург,chain,marlboro,10795,6159519,18989072,0.32
2019-08-07,Санкт-Петербург,nonchain,marlboro,76857,6159519,18989072,0.32
2019-08-07,Свердловская область,chain,marlboro,3293,6159519,18989072,0.32
2019-08-07,Свердловская область,nonchain,marlboro,6883,6159519,18989072,0.32
2019-08-07,г. Москва,chain,marlboro,2338,6159519,18989072,0.32
2019-08-07,г. Москва,nonchain,marlboro,36639,6159519,18989072,0.32
2019-08-08,Ленинградская область,chain,marlboro,5949,6159519,18989072,0.32
2019-08-08,Ленинградская область,nonchain,marlboro,40948,6159519,18989072,0.32
2019-08-08,Московская область,chain,marlboro,2968,6159519,18989072,0.32
2019-08-08,Московская область,nonchain,marlboro,18825,6159519,18989072,0.32
2019-08-08,Новосибирская область,chain,marlboro,19300,6159519,18989072,0.32
2019-08-08,Новосибирская область,nonchain,marlboro,10987,6159519,18989072,0.32
2019-08-08,Санкт-Петербург,chain,marlboro,7497,6159519,18989072,0.32
2019-08-08,Санкт-Петербург,nonchain,marlboro,42976,6159519,18989072,0.32
2019-08-08,Свердловская область,chain,marlboro,2824,6159519,18989072,0.32
2019-08-08,Свердловская область,nonchain,marlboro,7085,6159519,18989072,0.32
2019-08-08,г. Москва,chain,marlboro,1809,6159519,18989072,0.32
2019-08-08,г. Москва,nonchain,marlboro,67940,6159519,18989072,0.32
2019-08-09,Ленинградская область,chain,marlboro,3245,6159519,18989072,0.32
2019-08-09,Ленинградская область,nonchain,marlboro,28928,6159519,18989072,0.32
2019-08-09,Московская область,chain,marlboro,3043,6159519,18989072,0.32
2019-08-09,Московская область,nonchain,marlboro,34133,6159519,18989072,0.32
2019-08-09,Новосибирская область,chain,marlboro,11432,6159519,18989072,0.32
2019-08-09,Новосибирская область,nonchain,marlboro,14367,6159519,18989072,0.32
2019-08-09,Санкт-Петербург,chain,marlboro,6902,6159519,18989072,0.32
